text,rt_count, fav_count
Tidal is also funding a lot of my scripted content ideas.  It's a new day people.  More Ultra Light Dreams to be realized.,5585,19544
Man thank you so so so much everyone for signing up to Tidal. Tidal is now the number one app in the world!!! https://t.co/O3r9DkX03R,7056,25087
Please for all music lovers. Please subscribe to tidal!!! I decided not to sell my album for another week. Please subscribe to tidal.,15837,39128
Ima fix wolves,21210,44307
after realizing he is the greatest living artist and greatest artist of all time.,21879,41566
Mark Zuckerberg invest 1 billion dollars into Kanye West ideas,38093,63299
They are calling me to the SNL stage now ... Speak soon...,11019,40642
This is all all is fun all in good feelings... We will all be gone 100 years from now but what did we do to help while we were here!!!,18049,36931
I write this to you my brothers while still 53 million dollars in personal debt... Please pray we overcome... This is my true heart...,16322,35835
Let's dance in the streets. I am consumed by my purpose to help the world.,24272,40035
All memes are wrong... The Life of Paul... The life of Pablo... Ultralight beams... Moms dads daughters sons stand up...,11857,26759
Please forgive the profanity and give hugs and blessings to my brother Kirk for standing by me... In a few hours the journey begins...,9395,23292
He was saved from persecution due to his Roman citizenship... I have the right to speak my voice...,5405,16331
He was a learned man not of the original sect so he was able to take the message to the rest of the world...,5691,17042
Paul ... The most powerful messenger of the first century... Now we stand here 20 centuries later... Because he was a traveler...,8007,21602
.... awwwwww... https://t.co/TLXZhIEvmQ,53992,98159
Bosses https://t.co/aMzmmTcPQb,8779,34714
Thank you my brother Ricardo https://t.co/qXHHrMDWQk,4641,26253
HAD TO ALL CAPS THIS!!!!!! NO MORE RULES…. MAKE YOUR OWN RULES…   ok now back to finishing Pablo,26377,54419
I’M SO HYPE RIGHT NOW    EVERYTHING HAS CHANGED  … HAVE YA’LL EVER SEEN TRON? THE END OF THE TRON WHERE EVERYTHING LIGHT UP!!!!,29625,55115
HAAAAAAAAAAAAAA FUCK ALL THE HATERS   PUT YOUR MIUTHERFUCKING FIST IN THE SKY RIGHT NOW!!!!!!!!!!!!,45906,66463
and was there in full support to see me realize this dream…,5305,20112
and I’m proud of this picture with me and Caitlyn… She gave the most heart felt speech at my wedding https://t.co/vt76mwqfnH,9779,38308
I’ve given everything I had for this moment… a lot of people feel it’s the paradigm shift …,6627,21290
fashion ain’t no joke for me… It’s a way of life… creative expression and industry…,20656,39404
so many people didn’t make it and gave everything they had for me to stand on their shoulders and break through fashion…,5970,20315
Your site is entertaining and hilarious but certain things are just too far… you have no idea what I’ve had to go through …,5646,19197
I’m a human being… I’m an artist, bro…,22631,37793
you probably got bootleg Yeezy’s on right now…,41108,51780
but Media Takeout couldn’t say one thing positive knowing damn well you’d love to be on the YEEZY 350 list…,7445,21694
people were crying… people were throwing up the fist… people were dancing…,7491,21606
I had an album listening and clothing presentation and Madison Square Garden…,7063,21052
respect the struggle… respect the hustle… respect the dreams…  respect the movement…,55098,56811
You seem like the type of organization hired to always keep dreamers down… when certain things in history happen you just got to respect it…,7432,19537
Now - Media Takeout - always remember that you dissed the collection that changed the world.,6019,17674
It’s Chance's fault the album not out yet… he really wanted Waves on that Bitch…  we in the lab now...,55512,89662
There would be no MSG without @iamdiddy my OG. He fought this war 15 years ago. Respect OG.,8191,28401
You have supported me since the beginning and I'm so happy to call you my friend!!!,11759,41018
The boss: thank so much Anna for coming to my show!!! https://t.co/VAwzk0SDUw,11896,48784
The album is being mastered and will be out today… added on a couple of tracks… https://t.co/6lBxcd83N2,156391,181100
Now that the album is finally finished it’s back to Good Fridays. https://t.co/j5vq347xCC,46031,57146
I want to be the creative director of Hermes…,16728,42963
not just the famous people there    but the kids   the moms the dads  the families that came to share this moment with us,10998,30673
9th   It felt like a seen from The Warriors     ALL GODS   ALL GODS ALL GODS in the buildin,12804,26366
but you can see at Madison Square Garden that you can stop us,10683,24929
8th   They want to control us with money and perception and mute the culture,28848,38768
7th  I miss that feeling  so that’s what I want to help restore,13434,26446
That’s why music is so fucking watered down right now    I miss that DMX feeling,33009,51519
6th  Stop trying to demonize real artist     Stop trying to compromise art,23754,36142
I can’t be mad at Kanye because he made me famous!  #FACTS,35683,50997
She was having dinner with one of our friends who’s name I will keep out of this and she told him,14107,26069
5th  thing I’m not even gone take credit for the idea… it’s actually something Taylor came up with …,18819,32669
4th Bitch is an endearing term in hip hop  like the word Nigga,28694,43429
3rd thing    I called Taylor and had a hour long convo with her about the line and she thought it was funny and gave her blessings,25037,43496
2nd thing   I asked my wife  for her blessings and she was cool with it,18471,36121
First thing is I’m an artist and as an artist I will express how I feel with no censorship,30571,46649
I did not diss Taylor Swift and I’ve never dissed her…,30279,48825
Photos by Lukas Wassmann,2081,10956
Family,25913,43115
Father Stretch My Hands.... I cried writing this.  I love my Dad https://t.co/bkbNnU0BEH,43137,85728
WE’RE RELEASING MORE TICKETS FOR TODAYS SHOW AT MADISON SQUARE GARDEN… https://t.co/BwvStxRTEC,3242,11338
Zine party with Jackie Nickerson Virgil Abloh Heron Preston #goodjobwillo https://t.co/GEKOfLzOZ1,6751,21980
Final track list for The Life Of Pablo https://t.co/PMH94MAAeJ,74907,89850
Please no one text me or ask me for anything till Monday.,61223,73132
Seating https://t.co/xOJI2y0TvM,3727,15993
Season 3 invite https://t.co/lhVebPlTJd,7299,20375
in the booth https://t.co/Kpgs1qbVii,23662,48862
Wow this is pretty cool ... good job NIKE team... Lebron is my brother https://t.co/QrzpkRwWAk,7746,22946
BILL COSBY INNOCENT !!!!!!!!!!,44858,54058
I'm sorry Michael Jordan    I love and respect you. My beef was with Mark Parker. I respect you so much!,17190,39647
Now they know https://t.co/6c3OXYmkPG,39913,64659
Puma we gone give you your measly million dollars back!!! Never try to divide the family!!!,15801,32673
1000% there will never be a Kylie Puma anything. That's on my family! 1000% Kylie is on Yeezy team!!!,28671,54030
Material for Merch stand #goodjobwillo https://t.co/e7nMtSv0ej,2676,12180
Love love love love love my baby girl  #lovemyfamily https://t.co/YacTKSyVFE,27130,83161
2017? https://t.co/hxdDMhHcr1,11680,33513
Season 4 I’m only working on kid’s clothing...full time,11267,42687
That's the new album anybody who can figure out the title gets tickets to Season 3 and free Yeezys,33260,64274
@studio /final verses /new album title  T.L.O.P. https://t.co/yXKbFl9w6W,22794,31125
Location scouting for Zine party February 10th  with @ Jackie Nickerson    … #Goodjobwillow https://t.co/ff4OXU5f47,2497,8780
I have to call @FloydMayweather and @LeoDicaprio, I spoke to @MikeTyson yesterday,10152,24747
Season 2 Zine pronounced Zeen short for magazine.    A lot of people pronounce it wrong. https://t.co/jnmLFV3wZN,8121,22767
SEASON 3  https://t.co/8T1uPQewkc,12156,26229
Caught 10,000 retweets in half a second #facts,12904,33420
There may be a new secret album title,41241,73039
ALSO THANK YOU @FuckTyler FOR THE BEAT https://t.co/dyCBUtsWRx,18682,43027
THANK YOU GUYS KIMOJI IS NUMBER 1 ON THE APP STORE   https://t.co/qjmsUYOzAp https://t.co/L0FBBgk9Gs,3791,15653
I held a few seats for stage design that may open up depending on Vanessa’s final layout.,3751,15318
THANK YOU SO MUCH GUYS WE SOLD MADISON SQUARE GARDEN OUT IN 10 MINUTES!!!,15747,49525
On February 11th these dreams come true,30797,48960
It was always a dream to show my collection at Madison Square Garden,7402,22560
It was always a dream to have a listening party at Madison Square Garden,7873,23437
Aye Billboard you could use the term “unauthorized" but never refer to anything that me and Tyler do as fake out of respect to musicians…,14522,39470
@billboard … it’s not a fake cover… you seen it didn’t you… you know we shot it didn’t you…,5490,12575
Should this be a Rolling Stone cover?  Yes or No,5930,10419
I bet you this still becomes the cover though... Let's do another poll.....,0,0
#trollingstone,7746,24003
ROLLING STONE SHOT BY TYLER THE CREATOR https://t.co/lOMtOdOEel,83561,147753
So many musicians touch my life and made me who I am…    I want to make something great to honor my idols…,22882,51993
this new album is ONE of the greatest albums not the greatest just one of …,32766,56923
Out of respect for Q-Tip, Puff, Hov, Lauren, Pharcyde, Mary, Stevie, Michael, Hendrix, James, Pete Rock, Pac, Marvin….,17768,40810
Me and Wiz spoke yesterday.  Great convo.  All positive.,91291,181968
CONGRATULATIONS TO MY BROTHER VIRGIL ABLOH ON THE NEW BORN,7110,31357
God’s dream…   Never speak on kids again…   all love … all blessings…,26061,55917
I’m not into that kind of shit…  I like pictures and videos     Me and my wife got the kind of love that can turn exes into best friends,50996,85922
Exes can be mad but just know   I never let them play with my ass…    I don’t do that… I stay away from that area all together,149332,194455
I’m happy that I now know that KK means weed…  please excuse the confusion …  now back to #WAVES,82820,134861
Man it’s a sad a day… Wiz lost 2 million followers since I tweeted      I didn’t mean to either him like that.,67410,101179
In the lab with Ian Connor by the way,19153,42105
The Devil can’t stop us,68089,64466
Ima take these down cause it’s all about positive energy    blessings  blessings    positive energy blessings,39680,67494
Good energy  positive energy,98191,87690
This album is actually a Gospel album,60040,85137
I love the world bottom line and all I want is peace and positive energy,54977,69418
What’s sad is I love Wiz and I love all all my brothers and all people,38795,66239
#Waves https://t.co/Azig7aNYOu,50864,80313
#wifey #season3 https://t.co/Cn7qx5MbNk,54430,139828
Honor puff honor 50 honor q tip honor jay,22988,42861
I got this record niggas can't even play before 2 am.,26542,49422
All respect to Andre Harrel and Max B #Waves,18488,33154
#Waves the album formally known as Swish 😭😭😭,46533,73834
#waves https://t.co/fyER7NH8DC,77528,100690
New album title, WAVES,106560,128477
This is not album of the year.  This is album of the life.,227835,268121
good fridays,38445,71051
So happy to be finished with the best album of all time https://t.co/JBWa8OWvqw,158575,214475
Uncle Larry is with us in the lab https://t.co/FCRiOtrZP1,13515,38836
#unclelarry https://t.co/xeqX9NbXyQ,34199,52457
We just wanna thank Madlib for these 6 beat CDs he sent over,0,0
#scary https://t.co/rSKnOH5s9b,30242,59833
squad https://t.co/WVYnjNtdRA,7606,25587
squad https://t.co/wdOKb4bJt1,5889,19857
Had to do it https://t.co/jsEPvnjKB8,15366,38281
The monster https://t.co/N1F3QFmRws,10733,28694
😢 https://t.co/cDbAdPamwO,21392,48417
I told my wife...  #whichonelookbetter #allmattedout #newgrillcomingsoonallchrome #blessed https://t.co/hpTOCBSlED,26190,51444
A message from Yasiin Bey  https://t.co/Mf6apCqn2D,17435,23309
It's up https://t.co/w7zWdeVSV9,79458,83041
NO MORE PARTIES IN LA .........................very very extremely soon family https://t.co/C1R3oa0G2Z,42489,73447
I pray for his friends and family.,14326,43806
David Bowie was one of my most important inspirations, so fearless, so creative, he gave us magic for a lifetime.,84688,150552
I have no interest in working with anyone who is too important or too good or too traditional to take a call at 3am,80523,136821
My idol. https://t.co/YGFrPhQmDP,9844,30645
Swish  February 11 16,180868,167214
No More Parties in LA featuring Kendrick Lamar intro produced by me/track by Madlib  https://t.co/Mf6apCqn2D https://t.co/qNvP6yTTBq,49507,63084
Real Friends produced by me/sample by Frank Dukes and Boi 1da/drum programming by Havo,13604,28391
I hope you have a nice weekend.,96074,95645
New version is up.  Please please erase the old one I wasn’t satisfied with the sound quality.,19930,39064
It will be back up shortly.  When it’s back up all rippers please rip the new one instead.,18273,34068
Un momento, there was a slight distortion in the main loop within Real Friends.,18620,32519
Thank you GQ and to everyone who voted, it’s been an amazing year!!!,0,0
Praying for my brother King Louie and his family.,11984,27550
I’m so proud of my wife!  This KIMOJI idea is so dope... https://t.co/fsWK5FOGTE,28019,61285
R.I.P. DJ TIMBUCK2.   He was an amazing person and talent.   My prayers go out to his family.,6174,16926
no offense to anyone… I’m asking everyone   DON’T ASK ME FOR ANYTHING TILL AFTER I’M FINISHED WITH MY ALBUM,56376,82412
I’m finishing my album and my next collection…,55740,73865
eid Cudi "Speedin' Bullet 2 Heaven"  https://t.co/HAHbYWDfMa,12482,21689
Pusha T  “Untouchable”, produced by Timbaland.  https://t.co/I1rybEb6Xr,5639,11189
…with my brothers Trav, Yasiin and Nabil  https://t.co/KsB0igFQ06,6620,11442
Robert Zemeckis is a truly inventive filmmaker and captivating storyteller. He is one of my favorite directors of all time.,4707,15444
I just saw The Walk and it was truly inspiring! The Walk is a modern elegant masterpiece.,4650,15530
If a game is made for a 2 year old, just allow them to have fun and give the parents a break for Christ sake.,27424,48815
That makes no sense!!! We give the iPad to our child and every 5 minutes there's a new purchase!!!,26908,44518
Fuck any game company that puts in-app purchases on kids games!!!,51780,77325
Color http://t.co/0ZTDPK4M4A,7515,19597
Please: Do everything you possibly can in one lifetime.,391044,283356
Maximum expression while I have air in my lungs.,40351,44604
The Weeknd is one of my favorite artists and I was really excited to get to work with him on this song.,0,0
RODEO http://t.co/vqM96I29T8,36103,42953
My good friend Ellen @TheEllenShow just launched her clothing line, http://t.co/6jVO1gDzIH,3085,10462
My prayers go to Ingrid Sischy’s family … I will forever appreciate her sincerity … She was a super nice person. http://t.co/GajqVowxAH,2778,12303
Baptism http://t.co/YnHbme8Y6l,24043,51952
DREAMS ARE WORTH MORE THAN MONEY   http://t.co/Xp0N6rBKEs,12116,16732
Skateboard P is the God.,24990,31023
Beautiful song, incredibly shot.,0,0
Kim, I’m so happy to be married to the girl of my dreams… I love you and Nori so much!!! I would find you in any lifetime.,108512,219713
We promise to win.,60123,48798
Thank you SAIC…  This is my greatest honor to date and would have been my mother - Dr. West’s - proudest moment. http://t.co/UmbmkJDHhq,29132,59132
I might change it again but that’s the name now,32049,40724
I’m changing my album name to SWISH,64847,68938
The love of music is louder than words. http://t.co/dvYp0pl3An http://t.co/1B4edv3jRl,3518,8322
New PAPER mag http://t.co/nU2dRO57SK,13210,26782
Excited, humbled and motivated for the future. http://t.co/t5estPlR6w,23829,43698
New Tyler https://t.co/2vNarGnL5I,13875,20059
VIC MENSA - U MAD featuring me  http://t.co/Q0YFFn1JsP http://t.co/zcXB13D90L,10715,17661
I want to steer clear of “opportunities" and focus on dreams.,62100,59560
Akira and There Will Be Blood are equally my 2 favorite movies of all time.,12323,26467
Even people who wanna go to heaven don’t wanna die to get there.     https://t.co/UBzOzxcBXG,5826,10950
I really like this vid...  https://t.co/T3bEuqHvgm,6035,10330
SUMMER LEAGUE!!!  ME TY $ AND WALE  http://t.co/ToLGm2h1rM,8311,12565
SEASON zine print edition available for free at the following locations http://t.co/ySwfZewefE,1907,4441
KENDRICK IS AN INSPIRATION.  THANK YOU FOR THE VIBRATIONS AND THE SPIRIT. YOUR MEANING, MESSAGE AND EXECUTION ARE GIFTS TO THE WORLD.,110363,131564
I decided to make it the first official video featuring Theophilus Allan Kingdom and Paul McCartney http://t.co/jD2BnEzN5Z,7465,11912
I felt the Brits performance captured the energy of the record http://t.co/Mf6apCHYrd,3502,8131
Finally back in the studio… starting my day by listening to Kendrick’s new album!!!  Thank you for the music and messaging!!!,33365,57146
SWISH!!!!!! http://t.co/07ZjyPi2dh,14315,28194
SWISH!!! http://t.co/QhEdqRIjb4,10434,20753
SWISH!!! http://t.co/phxpNGOb69,9608,19460
SWISH!!!! http://t.co/qEyDXcN8Xj,15970,25618
I’M SO LUCKY http://t.co/NyN0w5QCyB,36516,56311
CONGRATS BABY ON THE SHOW PREMIERE LAST NIGHT http://t.co/wDrVgwnqZj,11834,25985
CONGRATS BABY ON 30 MILLION TWITTER FOLLOWERS http://t.co/ev1g3MXxhG,14145,26220
I’M SO LUCKY http://t.co/8rB3T0Hl6b,32888,51275
YEEZY SEASON ONE - PHOTOGRAPHS BY JACKIE NICKERSON http://t.co/ySwfZewefE,4714,7449
RT @LiveNationUK: TONIGHT: @kanyewest to play one off show @KOKOLondon. Over 18s only, doors 11pm, strictly 2 tickets per person http://t.c…,1355,0
CyHi The Prynce freestyle on Westwood  http://t.co/eEPVt2JhvP,3164,5414
ALL DAY (feat. Theophilus London, Allan Kingdom &amp; Paul McCartney) http://t.co/AOMo6EtEDT http://t.co/1xvft3175J http://t.co/LfasWNl679,21227,25258
YOU ARE A LEGEND, A GREAT FRIEND, AND RESPECTFULLY EVEN THOUGH YOU WHITE ONE OF THE REALEST NIGGAS ALIVE,21187,38986
THERE WOULD BE NO FIX, NO WATCH THE THRONE, NO COLLEGE DROPOUT, NO GOLD DIGGER WITHOUT YOU BRO!!!!,8193,20634
HAPPY BDAY TO MY BROTHER MIKE DEAN, MIKE YOU’RE ONE OF THE GREATEST LIVING MUSICIANS IF NOT THE GREATEST,8356,18710
So Help Me God http://t.co/e3UUsQQEts,84989,77355
New Album title...,32373,40201
Yo so proud of my family Big Sean for his first number 1 album!!!!   #Goodmusic!!!!,19273,40648
I also would love for Bruno to sing this hook on this song 88 Keys / Puff and I produced…   I even asked Tyler to shoot the vid.,25146,41365
I also want to publicly apologize to Bruno Mars,  I used to hate on him but I really respect what he does as an artist.,45488,72477
I would like to publicly apologize to Beck, I’m sorry Beck.,86354,120028
Congrats to my family Chris Brown and Tyga on their new release,0,0
Really proud of my brother and his new album.,0,0
GOOD LUCK TO MY FAMILY COMMON AND JOHN LEGEND ON THEIR OSCAR NOMINATION!!!!!   SO PROUD OF YOU GUYS!!!!,11653,33849
BLESSINGS ON BLESSINGS ON BLESSINGS!!! http://t.co/UtcxsIaH4t,4179,8290
Seems like just yesterday we were interning at Fendi - now you’re nominated for the LVMH Young Designer Prize.,3423,8548
I am so proud of my family Virgil Abloh.,3889,9533
If you wanna have a drink with me, book a table at the spotted pig when I’m back in NY.,13734,27744
We want to innovate and we will win someday.,32730,33391
All we have are our dreams, and you can step on our dreams and ideas all you want, but we won’t stop fighting.,70454,57927
Fame is often looked down upon in the design world, so it’s actually been something I had to overcome.,12110,17400
because I was too famous by the time I realized I wanted to design.,8557,15455
I don’t call myself a designer as I was not allowed to go to Saint Martins,7159,13020
I have millions of ideas and I represent a new generation just trying to express themselves in a broken world.,37813,48855
and I have encountered countless amounts of bigotry along the way.,5310,9963
To Fern Mallis: I just want you to understand that attempting to do clothing has been very difficult,4557,9155
@cyhitheprynce #NAACP #BHP2 https://t.co/qzYsutMFrN,1844,2853
LET'S GO!!! http://t.co/eZlDcSw9wZ http://t.co/LpVuwSvy0Q,4884,8281
please read http://t.co/iMQhPm3iRc,8831,12298
Access granted. Reserve now. #YEEZYBOOST,9016,15985
GOOD Sessions  http://t.co/etLa3PDkrq,5263,7718
600,000 people rallied for justice on Dec. 13th  #blacklivesmatter,21312,31931
VIBES! Out Today. http://t.co/EIxhSnQjEL,2994,5542
I know it’s last minute, but if you haven’t voted, please vote today,12415,18071
The midterms are extremely important,20318,19527
I'm supporting the Democratic ticket in these midterms,9260,17441
Me and my wife met with President Obama two weeks ago,13194,26601
Sometimes I feel like just saying I love you isn’t strong enough to express how much I love you…,167806,165278
Happy Birthday baby!  Thank you for being the dopest wife &amp; mom! http://t.co/D3k20HN3Yb,51938,106014
not smiling makes me smile,269280,193548
Hedi at Saint Laurent, Nicolas at Vuitton and now John at Margiela.,5667,9373
It is very exciting to see what powerful creatives do at different houses...,9733,14843
JOHN GALLIANO is the new creative director of MARGIELA, I heard this rumor when I was in Paris and just received confirmation this morning!,4362,8339
Thank you Robin for all of the joy you brought the world http://t.co/c0YABjcLMo,93230,136307
A.P.C. KANYE http://t.co/bMty2Fnjob,3784,6302
One of my favorite artists Lana Del Rey’s new album.,0,0
#Allinornothing,7328,7800
hi Mom http://t.co/rP0xlyt4Eq,99274,174913
My friend Lisa Robinson just released her book, There Goes Gravity. http://t.co/oayjIhFcmy. Pretty legendary photos in it!!!,1212,3156
I love my family http://t.co/SDZohbsoaA,86578,147560
Dreams come true http://t.co/JlNzCKwZ0h http://t.co/sC3KNTl7fH,48577,74807
#TRILL Thank you @voguemagazine http://t.co/C4O8XOeJjS,6983,8580
check out @SteveStoute classic Tanning of America marathon starting at 7pm on vh1 #hiphopchangedus,1814,3391
I'm performing tonight on @LateNightSeth,6541,10415
The doors may be heavier, but I promise you WE WILL BREAK THEM.,70897,53267
Ten years later I am still the same kid from Chicago, still dreaming out loud, still banging on the door.,49754,51857
I wake up every day trying to give something back to you that you can rock to and be proud of.,30207,35411
I am honored and humbled by my fans, for the unwavering support and love over the past ten years.,25399,36296
gave of their heart to that project, and to all the projects that followed, and are to come.,11569,17779
I am extremely grateful to each and every person along that road who helped, lent an ear, lent their voice,,19387,25166
to not only convince my peers and the public that I could be an artist, but to actually get that art out for the world to hear.,13713,19463
I say "finally" because it was a long road, a constant struggle, and a true labor of love,17844,23377
Ten years ago today we finally released what had been my life's work up to that point: The College Dropout.,55209,52026
A.P.C. http://t.co/RMdltT4vOe,11857,16959
Thank you, Mandela, for your life's work and may it serve as a guiding light to illuminate our future.,18853,16480
At a young age my mother taught me the importance of his work. Mandela sacrificed his life for the betterment of mankind.,12004,12254
I'd like to address the false stories and noise that have been engineered by the media.,9925,8422
Despite recent media reports, I've never said anything to dishonor or trivialize the life or transition of one of the most inspiring leaders,12692,9094
Respect to Mandela, his family and his legacy.,12234,11220
YEEZUS TOUR MERCH AVAILABLE BLACK FRIDAY http://t.co/M56v4jI0X2,1826,3160
You inspire us all to be greater and have broken the original doors down that gave us the platform: http://t.co/fFrj884wP6,3725,4388
Thank you Russel for these kind insightful words, I appreciate your mentorship.,2296,4362
YEEZUS TOUR OFFICIALLY BACK ON THE ROAD http://t.co/VQmRN6Z3tY,7544,9059
I DO NOT HAVE AN INSTAGRAM…,20174,23450
Thank you MAISON MARTIN @MARGIELA and @RenzoRosso It was one of the greatest experiences to work with the maison!!! http://t.co/zvUtw0oiip,3825,7940
So proud of my baby @kimkardashian http://t.co/cArxWft6EP,8980,19242
MY NAME IS MY NAME.  PRE-ORDER ON ITUNES NOW. http://t.co/Sy0S7t4PAp,2985,2646
YEEZUS TOUR WITH KENDRICK ON SALE NOW.  http://t.co/Qb5QmxrB7U,7165,5267
Karl shooting my 2 girls @CarineRoitfeld @RiccardoTisci @KarlLagerfeld http://t.co/HJWw3Cotxq http://t.co/S04Bz4IZBB,5243,12456
I loved working on this new John Legend album, LOVE IN THE FUTURE, out now. @johnlegend   https://t.co/cc1rzT2P6L http://t.co/65caceLwbP,4280,6915
please don't diminish the user experience by just posting it as a normal video  …    please link them to my site,3144,3247
if you put a link to my site people will be able to chop &amp; screw the video. this is a step towards the possibilities of internet based video,2695,2669
ATTENTION all sites just posting merely the video version of BLKKK SKKKN HEAD...,2008,2135
I open the debate… The 2nd verse of New Slaves is the best rap verse of all time….meaning … OF ALL TIME IN THE HISTORY OF RAP MUSIC, PERIOD,58700,35172
And to who ever leaked the video…     FUK YOU!,25030,16533
Allow me and Nick to give the world what we've been losing sleep over.,5187,4208
So any website that may have the unapproved / unfinished ruff. I ask you to please take it down.,3519,2868
The final version will be ready within the next week.,4444,3209
Me and Nick Knight have been working on this video for 5 months and for creatives it's heartbreaking when something like this happens.,4990,3988
Thank you Jean Touitou for letting me create with you http://t.co/ctery9mHJA,1989,2254
This is not another "Robot" movie.   Guillermo del Toro is a master.,6277,5311
I saw a pre-screening of Pacific Rim yesterday and it's easily one of my favorite movies of all time.,9820,8140
one of the other gifts my girl gave me for fathers day http://t.co/WnlZaMhVtw,6675,11603
ENTER FOR A CHANCE TO WIN A PAIR OF THE RED NIKE AIR YEEZY 2 http://t.co/xWXjqFQuwg,3852,3711
NEW MUSIC AT NEW PROJECTION LOCATIONS @ http://t.co/7BZwfPawwZ,3747,2378
NEW SONG AND VISUAL FROM MY NEW ALBUM BEING PROJECTED TONIGHT ACROSS THE GLOBE ON 66 BUILDINGS, LOCATIONS @ http://t.co/7BZwfPawwZ,16320,8045
